2022-03-29 17:29:54 status unpacked perl:amd64 5.32.1-4+deb11u2
2022-03-29 17:29:54 install libpython3.9-minimal:amd64 <none> 3.9.2-1
2022-03-29 17:29:54 status half-installed libpython3.9-minimal:amd64 3.9.2-1
2022-03-29 17:29:54 status unpacked libpython3.9-minimal:amd64 3.9.2-1
2022-03-29 17:29:54 install libexpat1:amd64 <none> 2.2.10-2+deb11u3
2022-03-29 17:29:54 status half-installed libexpat1:amd64 2.2.10-2+deb11u3
2022-03-29 17:29:54 status unpacked libexpat1:amd64 2.2.10-2+deb11u3
2022-03-29 17:29:54 install python3.9-minimal:amd64 <none> 3.9.2-1
2022-03-29 17:29:54 status half-installed python3.9-minimal:amd64 3.9.2-1
2022-03-29 17:29:55 status unpacked python3.9-minimal:amd64 3.9.2-1
2022-03-29 17:29:55 startup packages configure
2022-03-29 17:29:55 configure libpython3.9-minimal:amd64 3.9.2-1 <none>
2022-03-29 17:29:55 status unpacked libpython3.9-minimal:amd64 3.9.2-1
2022-03-29 17:29:55 status half-configured libpython3.9-minimal:amd64 3.9.2-1
2022-03-29 17:29:55 status installed libpython3.9-minimal:amd64 3.9.2-1
2022-03-29 17:29:55 configure libexpat1:amd64 2.2.10-2+deb11u3 <none>
2022-03-29 17:29:55 status unpacked libexpat1:amd64 2.2.10-2+deb11u3
2022-03-29 17:29:55 status half-configured libexpat1:amd64 2.2.10-2+deb11u3
2022-03-29 17:29:55 status installed libexpat1:amd64 2.2.10-2+deb11u3
2022-03-29 17:29:55 configure python3.9-minimal:amd64 3.9.2-1 <none>
2022-03-29 17:29:55 status unpacked python3.9-minimal:amd64 3.9.2-1
2022-03-29 17:29:55 status half-configured python3.9-minimal:amd64 3.9.2-1
2022-03-29 17:29:55 status installed python3.9-minimal:amd64 3.9.2-1
2022-03-29 17:29:55 startup archives unpack
2022-03-29 17:29:55 install python3-minimal:amd64 <none> 3.9.2-3
2022-03-29 17:29:55 status half-installed python3-minimal:amd64 3.9.2-3
2022-03-29 17:29:55 status unpacked python3-minimal:amd64 3.9.2-3
2022-03-29 17:29:55 install media-types:all <none> 4.0.0
2022-03-29 17:29:55 status half-installed media-types:all 4.0.0
2022-03-29 17:29:55 status unpacked media-types:all 4.0.0
2022-03-29 17:29:55 install libmpdec3:amd64 <none> 2.5.1-1
2022-03-29 17:29:55 status half-installed libmpdec3:amd64 2.5.1-1
2022-03-29 17:29:55 status unpacked libmpdec3:amd64 2.5.1-1
2022-03-29 17:29:55 install libpython3.9-stdlib:amd64 <none> 3.9.2-1
2022-03-29 17:29:55 status half-installed libpython3.9-stdlib:amd64 3.9.2-1
2022-03-29 17:29:55 status unpacked libpython3.9-stdlib:amd64 3.9.2-1
2022-03-29 17:29:55 install python3.9:amd64 <none> 3.9.2-1
2022-03-29 17:29:55 status half-installed python3.9:amd64 3.9.2-1
2022-03-29 17:29:55 status unpacked python3.9:amd64 3.9.2-1
2022-03-29 17:29:55 install libpython3-stdlib:amd64 <none> 3.9.2-3
2022-03-29 17:29:55 status half-installed libpython3-stdlib:amd64 3.9.2-3
2022-03-29 17:29:56 status unpacked libpython3-stdlib:amd64 3.9.2-3
2022-03-29 17:29:56 startup packages configure
2022-03-29 17:29:56 configure python3-minimal:amd64 3.9.2-3 <none>
2022-03-29 17:29:56 status unpacked python3-minimal:amd64 3.9.2-3
2022-03-29 17:29:56 status half-configured python3-minimal:amd64 3.9.2-3
2022-03-29 17:29:56 status installed python3-minimal:amd64 3.9.2-3
2022-03-29 17:29:56 startup archives unpack
2022-03-29 17:29:56 install python3:amd64 <none> 3.9.2-3
2022-03-29 17:29:56 status half-installed python3:amd64 3.9.2-3
2022-03-29 17:29:56 status unpacked python3:amd64 3.9.2-3
2022-03-29 17:29:56 install libncurses6:amd64 <none> 6.2+20201114-2
2022-03-29 17:29:56 status half-installed libncurses6:amd64 6.2+20201114-2
2022-03-29 17:29:56 status unpacked libncurses6:amd64 6.2+20201114-2
2022-03-29 17:29:56 install libprocps8:amd64 <none> 2:3.3.17-5
2022-03-29 17:29:56 status half-installed libprocps8:amd64 2:3.3.17-5
2022-03-29 17:29:56 status unpacked libprocps8:amd64 2:3.3.17-5
2022-03-29 17:29:56 install procps:amd64 <none> 2:3.3.17-5
2022-03-29 17:29:56 status half-installed procps:amd64 2:3.3.17-5
2022-03-29 17:29:56 status unpacked procps:amd64 2:3.3.17-5
2022-03-29 17:29:56 install sensible-utils:all <none> 0.0.14
2022-03-29 17:29:56 status half-installed sensible-utils:all 0.0.14
2022-03-29 17:29:56 status unpacked sensible-utils:all 0.0.14
2022-03-29 17:29:56 install libmd0:amd64 <none> 1.0.3-3
2022-03-29 17:29:56 status half-installed libmd0:amd64 1.0.3-3
2022-03-29 17:29:56 status unpacked libmd0:amd64 1.0.3-3
2022-03-29 17:29:56 install libbsd0:amd64 <none> 0.11.3-1
2022-03-29 17:29:56 status half-installed libbsd0:amd64 0.11.3-1
2022-03-29 17:29:56 status unpacked libbsd0:amd64 0.11.3-1
2022-03-29 17:29:56 install libedit2:amd64 <none> 3.1-20191231-2+b1
2022-03-29 17:29:56 status half-installed libedit2:amd64 3.1-20191231-2+b1
2022-03-29 17:29:56 status unpacked libedit2:amd64 3.1-20191231-2+b1
2022-03-29 17:29:56 install libcbor0:amd64 <none> 0.5.0+dfsg-2
2022-03-29 17:29:56 status half-installed libcbor0:amd64 0.5.0+dfsg-2
2022-03-29 17:29:56 status unpacked libcbor0:amd64 0.5.0+dfsg-2
2022-03-29 17:29:56 install libfido2-1:amd64 <none> 1.6.0-2
2022-03-29 17:29:56 status half-installed libfido2-1:amd64 1.6.0-2
2022-03-29 17:29:56 status unpacked libfido2-1:amd64 1.6.0-2
2022-03-29 17:29:56 install openssh-client:amd64 <none> 1:8.4p1-5
2022-03-29 17:29:56 status half-installed openssh-client:amd64 1:8.4p1-5
2022-03-29 17:29:56 status unpacked openssh-client:amd64 1:8.4p1-5
2022-03-29 17:29:56 install ucf:all <none> 3.0043
2022-03-29 17:29:56 status half-installed ucf:all 3.0043
2022-03-29 17:29:56 status unpacked ucf:all 3.0043
2022-03-29 17:29:56 install libcurl3-gnutls:amd64 <none> 7.74.0-1.3+deb11u1
2022-03-29 17:29:56 status half-installed libcurl3-gnutls:amd64 7.74.0-1.3+deb11u1
2022-03-29 17:29:56 status unpacked libcurl3-gnutls:amd64 7.74.0-1.3+deb11u1
2022-03-29 17:29:56 install liberror-perl:all <none> 0.17029-1
2022-03-29 17:29:56 status half-installed liberror-perl:all 0.17029-1
2022-03-29 17:29:56 status unpacked liberror-perl:all 0.17029-1
2022-03-29 17:29:56 install git-man:all <none> 1:2.30.2-1
2022-03-29 17:29:56 status half-installed git-man:all 1:2.30.2-1
2022-03-29 17:29:57 status unpacked git-man:all 1:2.30.2-1
2022-03-29 17:29:57 install git:amd64 <none> 1:2.30.2-1
2022-03-29 17:29:57 status half-installed git:amd64 1:2.30.2-1
2022-03-29 17:29:57 status unpacked git:amd64 1:2.30.2-1
2022-03-29 17:29:57 install libapr1:amd64 <none> 1.7.0-6+deb11u1
2022-03-29 17:29:57 status half-installed libapr1:amd64 1.7.0-6+deb11u1
2022-03-29 17:29:57 status unpacked libapr1:amd64 1.7.0-6+deb11u1
2022-03-29 17:29:57 install libaprutil1:amd64 <none> 1.6.1-5
2022-03-29 17:29:57 status half-installed libaprutil1:amd64 1.6.1-5
2022-03-29 17:29:57 status unpacked libaprutil1:amd64 1.6.1-5
2022-03-29 17:29:57 install libserf-1-1:amd64 <none> 1.3.9-10
2022-03-29 17:29:57 status half-installed libserf-1-1:amd64 1.3.9-10
